381;146;255;0;true;2;
623;77;245;1;true;3;
868;145;265;2;true;4;
631;331;80;3;true;5;
336;402;270;4;true;6;
498;646;305;5;true;7;
804;643;315;6;true;8;
925;394;276;7;true;9;
635;352;331;8;true;10;
381;146;255;0;true;2;
623;77;245;1;true;3;
868;145;265;2;true;4;
631;331;80;3;true;5;
336;402;270;4;true;6;
498;646;305;5;true;7;
804;643;315;6;true;8;
925;394;276;7;true;9;
635;352;331;8;true;10;
381;146;255;0;true;2;
623;77;245;1;true;3;
868;145;265;2;true;4;
631;331;80;3;true;5;
336;402;270;4;true;6;
498;646;305;5;true;7;
804;643;315;6;true;8;
925;394;276;7;true;9;
635;352;331;8;true;10;
381;146;255;0;true;2;
623;77;245;1;true;3;
868;145;265;2;true;4;
631;331;80;3;true;5;
336;402;270;4;true;6;
498;646;305;5;true;7;
804;643;315;6;true;8;
925;394;276;7;true;9;
635;352;331;8;true;10;
493;249;50;40;true;2;
1182;49;100;41;true;3;
1078;32;75;42;true;4;
1184;159;100;43;true;5;
1195;296;90;44;true;6;
1207;388;65;45;true;7;
1208;473;70;46;true;8;
637;400;790;47;true;9;
574;390;775;48;true;10;
493;249;50;40;true;2;
1182;49;100;41;true;3;
1078;32;75;42;true;4;
1184;159;100;43;true;5;
1195;296;90;44;true;6;
1207;388;65;45;true;7;
1208;473;70;46;true;8;
637;400;790;47;true;9;
574;390;775;48;true;10;
80;560;70;60;true;2;
160;560;140;61;true;3;
240;560;210;62;true;4;
320;560;280;63;true;5;
400;560;350;64;true;6;
480;560;420;65;true;7;
560;560;490;66;true;8;
640;560;560;67;true;9;
720;560;630;68;true;10;
80;640;80;70;true;2;
160;640;160;71;true;3;
240;640;240;72;true;4;
320;640;320;73;true;5;
400;640;400;74;true;6;
480;640;480;75;true;7;
560;640;560;76;true;8;
640;640;640;77;true;9;
720;640;720;78;true;10;
80;720;90;80;true;2;
160;720;180;81;true;3;
240;720;270;82;true;4;
320;720;360;83;true;5;
400;720;450;84;true;6;
480;720;540;85;true;7;
560;720;630;86;true;8;
640;720;720;87;true;9;
720;720;810;88;true;10;
