11;13;10;0;true;2;
1266;16;20;1;true;3;
15;789;30;2;true;4;
1261;782;40;3;true;5;
640;400;50;4;true;6;
320;400;60;5;true;7;
963;381;70;6;true;8;
630;600;80;7;true;9;
640;200;90;8;true;10;
80;160;20;10;true;2;
160;160;40;11;true;3;
240;160;60;12;true;4;
320;160;80;13;true;5;
400;160;100;14;true;6;
480;160;120;15;true;7;
560;160;140;16;true;8;
640;160;160;17;true;9;
720;160;180;18;true;10;
80;240;30;20;true;2;
160;240;60;21;true;3;
240;240;90;22;true;4;
320;240;120;23;true;5;
400;240;150;24;true;6;
480;240;180;25;true;7;
560;240;210;26;true;8;
640;240;240;27;true;9;
720;240;270;28;true;10;
80;320;40;30;true;2;
160;320;80;31;true;3;
240;320;120;32;true;4;
320;320;160;33;true;5;
400;320;200;34;true;6;
480;320;240;35;true;7;
560;320;280;36;true;8;
640;320;320;37;true;9;
720;320;360;38;true;10;
80;400;50;40;true;2;
160;400;100;41;true;3;
240;400;150;42;true;4;
320;400;200;43;true;5;
400;400;250;44;true;6;
480;400;300;45;true;7;
560;400;350;46;true;8;
640;400;400;47;true;9;
720;400;450;48;true;10;
80;480;60;50;true;2;
160;480;120;51;true;3;
240;480;180;52;true;4;
320;480;240;53;true;5;
400;480;300;54;true;6;
480;480;360;55;true;7;
560;480;420;56;true;8;
640;480;480;57;true;9;
720;480;540;58;true;10;
80;560;70;60;true;2;
160;560;140;61;true;3;
240;560;210;62;true;4;
320;560;280;63;true;5;
400;560;350;64;true;6;
480;560;420;65;true;7;
560;560;490;66;true;8;
640;560;560;67;true;9;
720;560;630;68;true;10;
80;640;80;70;true;2;
160;640;160;71;true;3;
240;640;240;72;true;4;
320;640;320;73;true;5;
400;640;400;74;true;6;
480;640;480;75;true;7;
560;640;560;76;true;8;
640;640;640;77;true;9;
720;640;720;78;true;10;
80;720;90;80;true;2;
160;720;180;81;true;3;
240;720;270;82;true;4;
320;720;360;83;true;5;
400;720;450;84;true;6;
480;720;540;85;true;7;
560;720;630;86;true;8;
640;720;720;87;true;9;
720;720;810;88;true;10;
