207;121;10;0;true;
160;80;20;1;true;
240;80;30;2;true;
320;80;40;3;true;
400;80;50;4;true;
480;80;60;5;true;
560;80;70;6;true;
640;80;80;7;true;
720;80;90;8;true;
80;160;20;10;true;
160;160;40;11;true;
240;160;60;12;true;
320;253;80;13;true;
400;160;100;14;true;
480;160;120;15;true;
560;160;140;16;true;
640;160;160;17;true;
720;160;180;18;true;
80;240;30;20;true;
160;240;60;21;true;
240;240;90;22;true;
320;240;120;23;true;
400;240;150;24;true;
480;240;180;25;true;
560;240;210;26;true;
640;240;240;27;true;
720;240;270;28;true;
80;320;40;30;true;
160;320;40;31;true;
240;320;72;32;true;
320;320;96;33;true;
400;320;148;34;true;
480;320;181;35;true;
560;320;231;36;true;
640;320;228;37;true;
720;320;227;38;true;
80;400;50;40;true;
160;400;100;41;true;
240;400;150;42;true;
320;400;200;43;true;
400;400;250;44;true;
480;400;300;45;true;
560;400;350;46;true;
640;400;400;47;true;
720;400;450;48;true;
80;480;60;50;true;
160;480;120;51;true;
240;480;180;52;true;
320;480;240;53;true;
400;480;300;54;true;
431;233;360;55;true;
560;480;420;56;true;
640;480;480;57;true;
720;480;540;58;true;
80;560;70;60;true;
160;560;140;61;true;
240;560;210;62;true;
320;560;280;63;true;
400;560;350;64;true;
480;560;420;65;true;
560;560;490;66;true;
640;560;560;67;true;
720;560;630;68;true;
80;640;80;70;true;
160;640;160;71;true;
240;640;240;72;true;
320;640;320;73;true;
400;640;400;74;true;
480;640;480;75;true;
560;640;560;76;true;
640;640;640;77;true;
720;640;720;78;true;
80;720;90;80;true;
160;720;180;81;true;
240;720;270;82;true;
320;720;360;83;true;
400;720;450;84;true;
480;720;540;85;true;
560;720;630;86;true;
640;720;720;87;true;
720;720;810;88;true;
